id,input,expected_output
27,"{""caption"": ""El primer FIN DE SEMANA del ciclo #MUJERESENVIVO2025 💃🎶 comienza fuerte con estas propuestas🤩\n🗓️ Sábado 8 de marzo:\n🎸 BLINDNESS ALLOWED\n📍 Barracudas Rock Bar\n⌚ 21:00h\n🎸 ROCIO D’LAO\n📍 Cadavra\n⌚ 21:00h\n🎸 PIANO CLÁSICO ‘EN FEMENINO’ CON INÉS ALVARADO\n📍 Sala Clamores\n⌚ 17:30h\n🎸 ANA RODRIGO\n📍 EL SÓTANO\n⌚ 21:00h\n🎸 PINPILINPUSSIES\n📍 Maravillas Club\n⌚ 21:00h\n🎸 THE CLAMS\n📍 Moby Dick Club\n⌚ 19:30h.\n🎸 SILVIA PENIDE + LORENA BRUCKE\n📍 RINCON DEL ARTE NUEVO\n⌚ 20:00h\n🎸 NATHALIE BRAUX QUARTET presenta ‘WANDERINGS’\n📍 Café El Despertar\n⌚ 21:30h y 22:30h\n🗓️ Domingo 9 de marzo:\n🎸 SUSAN SANTOS + OMAGA + SILVIA GERS (LE FEMME)\n📍 El Sol\n⌚ 19:30h\n🎸 LORENA MONGE\n📍 CAFE LA PALMA\n⌚ 21:00h\n🎫 Entradas e Info del ciclo en nuestra web ⬇️\nmadridenvivo.com\nMUJERES EN VIVO 2025 💃🎶 es un ciclo organizado por #MadridenVivo con la colaboración de la Dirección General de Igualdad de la Comunidad de Madrid         #conciertos #salasdeconciertos #salas #salasdemusica #musica #musicaenvivo #cultura #planes #planesMadrid #culturaMadrid #indie #electronica #rock # #jazz #rap #soul #blues #flamenco #canciondeautor #pop #funk #blues #metal #Clubbing"", ""date"": ""18-02-2025"", ""image_path"": ""img/img27.png""}","{""artista"": [""BLINDNESS ALLOWED"", ""ROCIO D'LAO"", ""PIANO CLÁSICO 'EN FEMENINO' CON INÉS ALVARADO"", ""ANA RODRIGO"", ""PINPILINPUSSIES"", ""THE CLAMS"", ""SILVIA PENIDE + LORENA BRUCKE"", ""NATHALIE BRAUX QUARTET"", ""SUSAN SANTOS + OMAGA + SILVIA GERS (LE FEMME)"", ""LORENA MONGE""], ""fecha"": [""2025-03-08 21:00:00"", ""2025-03-08 21:00:00"", ""2025-03-08 17:30:00"", ""2025-03-08 21:00:00"", ""2025-03-08 21:00:00"", ""2025-03-08 19:30:00"", ""2025-03-08 20:00:00"", ""2025-03-08 21:30:00, 22:30:00"", ""2025-03-09 19:30:00"", ""2025-03-09 21:00:00""], ""ubicacion"": [""Barracudas Rock Bar"", ""Cadavra"", ""Sala Clamores"", ""EL SÓTANO"", ""Maravillas Club"", ""Moby Dick Club"", ""RINCON DEL ARTE NUEVO"", ""Café El Despertar"", ""El Sol"", ""CAFE LA PALMA""]}"
28,"{""caption"": "" 🔥🔥¡¡BABOON FEST 2025!!🔥🔥\nLo que empezó como una broma entre amigos hoy se hace una realidad. Hoy nace el BABOON FEST, festival independiente por y para las bandas de Albacete. El próximo sábado 10 de Mayo tenemos una cita en la sala ClanDestino de Albacete.\nEn esta primera edición contaremos con INSANIAM, banda albaceteña en plena gira española que traerá su infección a la ciudad.\nNo Drop For Us estarán presentado su nuevo EP “Antesis PT. II”, una de las bandas más en forma que no dejará indiferentes a nadie.\nPresentando su último trabajo “A Path To Reveal” tendremos a Frequency, que descargarán toda su energía en su vuelta a los escenarios más vivos que nunca.\nEntradas disponibles en la web de la sala clandestino: www.salaclandestino.com\n¡Las primeras 50 entradas están a solo 12€, así que no se las pierdan! ¡Corran que vuelan!"", ""date"": ""11-04-2025"", ""image_path"": ""img/img28.png""}","{""artista"": [""insaniam"", ""no drop for us"", ""frequency""], ""fecha"": [""10-05-2025""], ""ubicacion"": [""Clandestino""]}"
29,"{""caption"": "" La Vela Puerca regresa a España para celebrar sus 30 años de historia, y Es Gremi será una de las paradas imprescindibles de esta gira tan especial.\n\nCon una trayectoria llena de himnos y energía desbordante, la banda uruguaya ofrecerá un show cargado de clásicos que han marcado generaciones. Todos sus discos han sido discos de oro, y sus conciertos son una auténtica fiesta de rock vibrante y desenfrenado.\n\nUna cita imperdible para los amantes del buen directo.\n\n¡Ven y vívelo en directo!\n— en Es Gremi Centre Musical."", ""date"": ""22-04-2025"", ""image_path"": ""img/img29.png""}","{""artista"": [""la vela puerca""], ""fecha"": [""28-04-2025 20:00:00""], ""ubicacion"": [""Es Gremi""]}"
30,"{""caption"": ""Semana 4 y 5 | Abril 2025\n\n📍 MARTES 22 - 19h\nAlumnado ESCUELA PROVOZ\n\n📍 MIÉRCOLES 23 - 20:00h - 3€\nMICRO ABIERTO VOLANDER con @izanhernandez14\n@microabiertovolander\n\n📍 JUEVES 24 - 19h - 5€ / 7€\nVULTURNA @vulturnamusic\n\n📍 VIERNES 25 - 19:30h - 7€\nMIRI MARTÍNEZ Concierto Grado - Trinity CANTA’M\n\n📍 VIERNES 25 - 22:30h - @entradium\nDANIEL HIGIENICO @daniel.higienico\n\n📍 SÁBADO 26 - 13h - 7€\nJORDI PINYOS Concierto Grado - Trinity CANTA’M\nPiano: Juan Camilo Reyes\nGuitarra: Agustina Lado\nViolín: Alejandra Cabañas\n\n📍 SÁBADO 26 - 19h - 5€ anticipada\nCA-MALEANTES Show improvisación\n@ca_maleantes\n\n📍 SÁBADO 26 - 22:30h - 8€ TicketAndRoll / 10€ taquilla\n-Concierto especial 30 aniversario-\nYO VIVO NAVEGANDO @yovivonavegando\nFARREN EL GUIRI @farrenelguiri\nLUCIA CARRIÓN @canta_luciacarrion\nLULU CORAZÓN @lulu__________corazon\nFLORENCIO ANDRE & RODRIGO @florencioandre @rodrigogutierrez21\nJORGE 99 @jorge_ninetynine\n\n📍 DOMINGO 27 - 12:30h - 6€ y 8€\nMr. Fischer + Morleys\n@soymisterfischer\n\n📍 DOMINGO 27 - 18:30h - anticipada 10€ / taquilla 12€\nDANIEL LLUCH @daniellluchvocalcoach\n\n📍 MIÉRCOLES 30 - 20h - 5€\nMICRO ABIERTO VOLANDER - especial 30 aniversario\nLa taquilla se destinará a la compra de un teclado para los @microabiertovolander\n\n#ELVOLANDER #VALENCIA\nMás info WhatsApp 646910115 (Júlia A.)\n— en El Volander"", ""date"": ""21-04-2025"", ""image_path"": ""img/img30.jpg""}","{""artista"": [""Alumnado ESCUELA PROVOZ"", ""Volander"", ""vulturna"", ""miri martínez"", ""daniel higienico"", ""jordi pinyos"", ""ca-maleantes"", ""yo vivo navegando"", ""farren el guiri"", ""lucia carrión"", ""lulu corazón"", ""florencio andre"", ""rodrigo"", ""jorge 99"", ""mr. fischer & morley"", ""daniel lluch"", ""izanhernandez14""], ""fecha"": [""22-04-2025 19:00:00"", ""23-04-2025 20:00:00"", ""24-04-2025 19:00:00"", ""25-04-2025 19:30:00"", ""25-04-2025 22:30:00"", ""26-04-2025 13:00:00"", ""26-04-2025 19:00:00"", ""26-04-2025 22:30:00"", ""27-04-2025 12:30:00"", ""27-04-2025 18:30:00"", ""30-04-2025 20:00:00""], ""ubicacion"": [""el volander""]}"
31,"{""caption"": ""La buena gente de DKV celebra la 35ª edición del Scooter Run Alkarria y nos trae a dos bandas de culto. El viernes 2 de mayo, Los Bengala por tan solo 10€. Y el sábado tendremos el gran placer de recibir a The Excitements por tan solo 15€. Venta en salaoxido.net"", ""date"": ""18-04-2025"", ""image_path"": ""img/img31.jpg""}","{""artista"": [""los bengala"", ""the excitements""], ""fecha"": [""02-05-2025 20:00:00"", ""03-05-2025 20:00:00""], ""ubicacion"": [""sala oxido""]}"
32,"{""caption"": "" 🔺 Los Rebujitos OFICIAL estarán en Málaga el 3 de Mayo, tras el sold out de su última visita anterior. 🎟️ Entradas disponibles en Wegow https://www.wegow.com/.../rebujitos-en-concierto-malaga"", ""date"": ""24-04-2025"", ""image_path"": ""img/img32.jpg""}","{""artista"": [""los rebujitos""], ""fecha"": [""03-05-2025""], ""ubicacion"": [""Sala Paris""]}"
33,"{""caption"": "" Los Gandules continúan girando su chou. Pertrechados con su habitual indumentaria de gala (bata y zapatillas de andar por casa) y dos guitarras para dar el pego, perpetran un espectáculo notablemente superior a los fuegos artificiales con los que recibieron a Marco Polo en China. Sus seudoversiones musicales y los inapropiados comentarios desatan sentimientos y emociones existencialistas entre el público que se muestra incrédulo a la par que convencido. Si todavía no sabes si venir a verlos busca en youtube las actuaciones mejor pixelizadas. Temas como ”La Nasa”, “Cuídame el Gato”, “Políespan”, “Ladrón de Cobre” y muchas más, componen este único y exclusivo trabajo con el que llevan girando este año por toda la geografía española. 🎟 Entradas en www.salaeuterpe.com @@los_gandules #PlanesAlicante #costablanca #turismosantjoan #musicaenvivo #alicante #planesalicante #santjoan #culturaensantjoan #alicantespain #conciertosalicante"", ""date"": ""14-04-2025"", ""image_path"": ""img/img33.jpg""}","{""artista"": [""los gandules""], ""fecha"": [""31-05-2025 22:00:00""], ""ubicacion"": [""sala euterpe""]}"
34,"{""caption"": "" 💥 En una semana estaremos disfrutando del #InternationalJazzDay2025, el ciclo de las salas de #MadridenVivo con el que estaremos celebrando el International Jazz Day en Madrid, entre el miércoles 30 de abril y el domingo cuatro de mayo. Te presentamos los conciertos de las dos primeras jornadas: 🗓️ Miércoles 30 de ABRIL 🎙️Cecilia Krull Quarter 📍Café Central - Madrid 🎙️ La Lunfardita 📍 El Intruso 🗓️ Jueves 1 de MAYO 🎙️Lara Fichera 📍Café El Despertar 🎙️ Serendipity 📍 RINCON DEL ARTE NUEVO 🔎 Toda la INFO: madridenvivo.com 📻 Descubre contenido especial en radiocallao.es, la emisora oficial del ciclo. #Jazz #DiaInternacionaldelJazz #conciertos #Madrid #planesMadrid #CulturaMadrid #musica #cultura"", ""date"": ""24-04-2025"", ""image_path"": [""img/img34a.jpg, img/img34b.jpg, img/img34c.jpg, img/img34d.jpg""]}","{""artista"": [""cecilia krull quarter"", ""la lunfardita"", ""lara fichera"", ""serendipity""], ""fecha"": [""30-04-2025"", ""01-05-2025""], ""ubicacion"": [""café central"", ""el intruso"", ""café el despertar"", ""rincon del arte nuevo""]}"
35,"{""caption"": ""El sábado 3 de mayo, se sube al escenario de @tribecaliveoviedo uno de los raperos más polémicos del panorama actual, EL JINCHO. Entradas a la venta en www.epticket.com Permitida la entrada a menores de 16 años acompañados de un adulto y con autorización de padre, madre o tutor legal. @epticket_entradas @eljincholagentefuerte — en Tribeca Live Oviedo."", ""date"": ""18-04-2025"", ""image_path"": ""img/img35.jpg""}","{""artista"": [""el jincho""], ""fecha"": [""03-05-2025""], ""ubicacion"": [""tribeca live oviedo""]}"
36,"{""caption"": ""¡UN TANTO DE JULIÁN EN LA GOLEADA DEL ATLÉTICO MADRID! 👊🏼🔴⚪ El Colchonero se impuso como local por 3-0 ante el Rayo Vallecano y marcha tercero en #LaLiga. Goles de la Araña, Sorloth y Gallagher para los de Simeone. 📸 Alvaro Medranda/Quality Sport Images/Getty Images¡UN TANTO DE JULIÁN EN LA GOLEADA DEL ATLÉTICO MADRID! 👊🏼🔴⚪ El Colchonero se impuso como local por 3-0 ante el Rayo Vallecano y marcha tercero en #LaLiga. Goles de la Araña, Sorloth y Gallagher para los de Simeone. 📸 Alvaro Medranda/Quality Sport Images/Getty Images"", ""date"": ""24-04-2025"", ""image_path"": ""img/img36.jpg""}","{""artista"": [""indeterminado""], ""fecha"": [""indeterminado""], ""ubicacion"": [""indeterminado""]}"
37,"{""caption"": ""Que no nos hemos ido, que estamos de parranda, pero aún nos queda algo de mecha. Es un gran placer que nuestro próximo evento sea, ni más ni menos, que con Immaculate Fools y su gira 40 aniversario y como no puede ser de otra manera, dando espacio al talento local con @Alice’sCream Venta en salaoxido.net"", ""date"": ""16-04-2025"", ""image_path"": ""img/img37.jpg""}","{""artista"": [""immaculate fools"", ""alice’s cream""], ""fecha"": [""26-04-2025 22:00:00""], ""ubicacion"": [""sala oxido""]}"
38,"{""caption"": ""🔺 El rapero J Abecia nos visitará el 2 de Mayo dentro de su gira nacional. 🎟️ Entradas disponibles en DICE https://dice.fm/.../xeme2l-j-abecia-desvelos-tour-2nd-may..."", ""date"": ""22-04-2025"", ""image_path"": ""img/img38.jpg""}","{""artista"": [""j abecia""], ""fecha"": [""02-05-2024 ""], ""ubicacion"": [""Sala Paris""]}"
39,"{""caption"": ""Este sábado 25, @karavana__ estarán en directo en @tribecaliveoviedo dentro de su gira \""Entre amores y errores\"". Apertura de puertas: 19:30 h. Concierto: 20:00 h. Entradas a la venta en @wegowes @vananarecords @goldenbeatagency"", ""date"": ""22-01-2025"", ""image_path"": ""img/img39.jpg""}","{""artista"": [""karavana__""], ""fecha"": [""25-01-2025 20:00:00""], ""ubicacion"": [""tribeca live oviedo""]}"
40,"{""caption"": ""Bluenáticos vuelven a reunirse para celebrar el 30 aniversario de su primer LP “Pero no lo bastante…” (1995), en un concierto donde repasarán sus mejores temas y otros hits de su carrera. Bluenáticos 🎟 Entradas en www.salaeuterpe.com #PlanesAlicante #costablanca #turismosantjoan #musicaenvivo #alicante #planesalicante #santjoan #culturaensantjoan #alicantespain #conciertosalica"", ""date"": ""14-04-2025"", ""image_path"": ""img/img40.jpg""}","{""artista"": [""bluenáticos""], ""fecha"": [""30-05-2025 22:00""], ""ubicacion"": [""sala euterpe""]}"
41,"{""caption"": ""⚡️¡REMEMBER TRIPS “EL FESTIVAL” VOL II!⚡️ Vuelve a Trips uno de los eventos más esperados del verano: el Festival Remember más loco de la Región 🚀 🗓️ Disfruta del mejor sonido el próximo VIERNES 1 DE AGOSTO en nuestras DOS SALAS: Main Room: RAÚL ORTIZ, DJ NEIL, JAVI BOSS, PACO GARCÍA, CHUMI DJ, DJ CARLO, TONI BAFLES… ¡y muchos más! Live Act: LA LUNA vs DEE DEE ¿Y qué más? 🔥¡NI TE LO IMAGINAS! Tendrás que estar atento a nuestras RRSS… 🤭 ¡YA PUEDES COMPRAR TU ENTRADA A TRAVÉS DEL ENLACE DE NUESTRA BIO! 🔗 Ver menos — en Trips Summer Club."", ""date"": ""21-04-2025"", ""image_path"": ""img/img41.jpg""}","{""artista"": [""raul ortiz"", ""dj neil"", ""javi boss"", ""paco garcia"", ""chumi dj"", ""dj carlo"", ""toni bafles"", ""la luna"", ""dee dee""], ""fecha"": [""01-08-2024""], ""ubicacion"": [""trips summer club""]}"
42,"{""caption"": ""Esta noche vamos a vivir el Sala X el estrena de LUCAS EL MAQUINISTA, banda conformada por músicos de reconocido prestigio en la ciudad como David Acosta, Jesúa Chávez, Juangui Acosta, Leticia Romero y Melchor Hanna. Les acompañarán en el escenario 4BIRRAS, que está en el top del éxito. Cuatro padres de familia, ejecutivos escasamente agresivos y experimentados rockeros que han logrado sacar un hueco semanal para aflojarse la corbata y meterse cada uno cuatro birras entre pecho y guitarra. Tras unos años recorriendo los bares de la ciudad y otros escenarios inverosímiles con un repertorio de bodas con actitud de barra libre, la banda ha alcanzado su puntazo de madurez. Síguelos en @lucas_elmaquinista y @4_birras Entradas anticipadas 10€ en ultiamaentrada.com Apertura de puertas 21:00h"", ""date"": ""25-04-2025"", ""image_path"": ""img/img42.jpg""}","{""artista"": [""lucas el maquinista"", ""4birras""], ""fecha"": [""25-04-2025 21:00:00""], ""ubicacion"": [""sala x""]}"
43,"{""caption"": ""Todo un gustazo tener en la cabina a uno de los grandes, Carlos Agraz que se estrena en el Remember the One con un set de impresión que dejará huella, la primera vez siempre es especial. Entradas a la venta en taquilla. Entradas anticipadas con consumición https://www.enterticket.es/.../remember-the-one-3-de-mayo... Entradas físicas Sevi 669123247 Nano 622481602 Paty 649265246 (WhatsApp) Arenales del sol, Santa Pola, Elche, Guardamar. Reservas VIP Whatsapp (solo mensajes) 625 51 26 05 (exclusivo Remember the One). SALA THE ONE calle bronce n° 8 Sant Vicent del Raspeig (Alicante) 3 de mayo 6 de la tarde 12 horas de fiesta. La ultima de la temporada. Regalo cd a los 500 primeros en entar."", ""date"": ""24-04-2025"", ""image_path"": ""img/img43.jpg""}","{""artista"": [""carlos agraz""], ""fecha"": [""03-05-2024 18:00:00"", ""03-05-2024 12:00:00""], ""ubicacion"": [""sala the one""]}"
44,"{""caption"": ""Sábado 1 Marzo - 21:00h @negrosaturno presenta: @veiloflightmusic (Synthpop - New wave - Postpunk, Suiza) Entradas 🎟️ anticipadas en @woutick — en Radar Estudios."", ""date"": ""28-02-2025"", ""image_path"": ""img/img44.jpg""}","{""artista"": [""veiloflightmusic""], ""fecha"": [""01-03-2024 21:00:00""], ""ubicacion"": [""radar estudios""]}"
45,"{""caption"": ""- Una gran oportunidad para disfrutar con esta bandaza de España - Entradas a la venta en Link de bio y web - Splinter (no confundir con otras bandas con el mismo nombre) con sede en Amsterdam (Países Bajos) estarán presentando en nuestros escenarios parte de sus dos trabajos «Role Models» (2023) y «Filthy Pleasures» (2021) durante los últimos días de Abril y primeros de Mayo. A pesar de su corta trayectoria no les falta experiencia ya que han estado en otras formaciones. De las cenizas de Death Alley, Birth Of Joy y Vanderbuyst surge esta super banda de rock. El batería Barry, Douwe a la voz, el guitarrista Sander junto a Gertjan al órgano han formado esta gran propuesta. Los directos de este cuarteto irradian energía y reflejan la sabia nueva del rock. Una mezcla de hard rock con power pop y con ciertos guiños al punk es la música que plantean en los dos trabajos que tienen hasta el momento. En definitiva rock clásico en su mayor plenitud con diversidad de influencias que resalta por su frescura y desenfado. No faltan pegadizos riffs de guitarra impregnados de pegajosas melodías. El atrevimiento de introducir el órgano Hammond en sus temas es un aliciente a tener en cuenta en sus composiciones. Señoras y señoras damos la bienvenida a Splinter!!!"", ""date"": ""24-04-2025"", ""image_path"": ""img/img45.jpg""}","{""artista"": [""splinter""], ""fecha"": [""30-04-2025 21:00:00 ""], ""ubicacion"": [""Sala Picaro""]}"
46,"{""caption"": ""📍Próximo jueves 24 abril, Salta la Banca en Valencia @Rock City. 🎟️ Últimas entradas en www.rockcity.es — con Chainsaw Entertainment y Salta La Banca (Oficial)."", ""date"": ""22-04-2025"", ""image_path"": ""img/img46.jpg""}","{""artista"": [""salta la banca""], ""fecha"": [""24-04-2025 ""], ""ubicacion"": [""sala rock city""]}"
47,"{""caption"": ""📅 Viernes 25 de abril – Marta Soto 🌟 Esta noche nos visita una de las voces más bonitas del pop español: Marta Soto. Del Royal Albert Hall al Rock & Blues Café… y no es broma. Con sus canciones ha llenado salas por toda España y ahora viene a Zaragoza con su corazón en cada nota. 🕘 21:00h 🎟 Entradas aquí → https://www.ticketmaster.es/event/marta-soto-entradas/42459 No dejes que te lo cuenten con vídeos borrosos de Instagram. #MartaSotoZgz #PopConAlma #ConciertoEnZaragoza"", ""date"": ""25-04-2025"", ""image_path"": ""img/img47.jpg""}","{""artista"": [""marta soto""], ""fecha"": [""25-04-2025 21:00:00""], ""ubicacion"": [""rock & blues café""]}"
48,"{""caption"": ""GRUPOS DE GUADALAJARA QUE LO HACEN MUY BIEN, TE ESPERAMOS."", ""date"": ""25-04-2025"", ""image_path"": ""img/img48.jpg""}","{""artista"": [""sexy zebras"", ""loquillo"", ""talco"", ""barricada"", ""la polla records"", ""reincidentes"", ""benito kamelas"", ""marea"", ""celtas cortos"", ""fito"", ""platero"", ""extremoduro"", ""la raíz"", ""lory meyers"", ""la la love you""], ""fecha"": [""03-05-2024 21:30:00""], ""ubicacion"": [""café teatro monkey man""]}"
49,"{""caption"": ""O venres 25 Abril na La Room concerto de SR. X celebrando o seu décimo aniversario como banda subindo aos escenarios.... Apertura porta 24.00 h.... Entrada 8 € ..... concerto 00.15 h. SR. X nace en Ferrol no 2015 no barrio de Canido. Unha banda moi ecléctica, fusionando diversos estilos como son o reggae, o ska ou o soul. Cun amplio repertorio de temas clásicos e actuáis sempre levados ao seu terreo, cun obxetivo moi raro, facer mover o esquelete aos presentes. Tras algúns pequenos cambios na formación orixinal, os intregantes actuáis son: Tania Redondo (voz), Miguel Vilar (guitarra), Sonic (bajo), Gelocho (batería), Rubo Ferreira (trompeta), Sito Rivera (saxo tenor), Daniel Rodríguez (trombón). Este concerto está no programa da REDE GALEGA DE MÚSICA AO VIVO COMPLEMENTARIA da sala La Room. Estos concertos están apoiados pola Xunta de Galicia mediante subvención da AGADIC (Axencia Galega das Industrias Culturais)."", ""date"": ""23-04-2025"", ""image_path"": ""img/img49.jpg""}","{""artista"": [""sr. x""], ""fecha"": [""25-04-2024 00:15:00""], ""ubicacion"": [""sala room""]}"
50,"{""caption"": ""@awakateband en la Sala Berlín el 25 de abril 🥑🔥 Ritmos contagiosos y pura energía en una noche que no te dejará indiferente. ¿Estás listo para la fiesta? 🎟️ No te quedes sin tu entrada, disponibles en berlinalmeria.com #salaberlinsocialclub #berlinalmeria #almeria #crashmusic #saladeconciertos #concierto #musicaenvivo #musicaenalmeria @crashmusic.es"", ""date"": ""01-04-2025"", ""image_path"": ""img/img50.jpg""}","{""artista"": [""awakateband""], ""fecha"": [""25-04-2024 20:00:00""], ""ubicacion"": [""berlin social club""]}"
